代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
688063,N派能,235.29,320.16%,179.29,27.30万,58.48亿,118.36%,260.05,193.77,200.01,56.00,-,75.95%,138.91,13.72
300925,N法本,53.01,163.99%,32.93,20.79万,8.76亿,213.55%,78.88,36.00,36.00,20.08,-,67.72%,62.01,6.35
688618,N三旺,61.17,79.49%,27.09,8.24万,4.60亿,106.66%,86.40,50.05,54.00,34.08,-,76.63%,47.97,4.71
300221,银禧科技,9.50,18.75%,1.50,133.75万,12.07亿,20.88%,9.60,7.93,8.00,8.00,1.78,31.84%,42.75,3.97
300450,先导智能,84.99,15.16%,11.19,31.80万,26.10亿,10.62%,85.14,77.30,78.09,73.80,2.27,3.51%,90.44,17.21
688559,海目星,31.22,13.36%,3.68,9.10万,2.76亿,15.29%,32.35,28.14,28.14,27.54,1.70,20.01%,135.03,4.67
688598,金博股份,221.98,12.20%,24.14,1.78万,3.82亿,12.63%,225.99,201.01,201.76,197.84,0.65,9.29%,116.55,14.42
688030,山石网科,38.50,11.92%,4.10,3.84万,1.45亿,7.85%,39.00,36.30,37.00,34.40,3.06,4.10%,-110.76,5.27
688179,阿拉丁,77.80,11.38%,7.95,1.63万,1.22亿,14.03%,79.65,69.85,70.18,69.85,0.92,7.08%,122.18,9.95
688567,孚能科技,45.81,10.68%,4.42,16.98万,7.61亿,10.53%,46.54,42.18,42.18,41.39,1.02,11.65%,-125.51,4.85
300750,宁德时代,340.00,10.39%,32.00,22.88万,76.49亿,9.07%,347.94,320.00,320.00,308.00,1.89,1.85%,176.96,12.91
000523,广州浪奇,3.71,10.09%,0.34,8.35万,2986.69万,11.87%,3.71,3.31,3.37,3.37,1.49,1.33%,-1.49,3.21
002167,东方锆业,6.22,10.09%,0.57,35.99万,2.18亿,10.62%,6.22,5.62,5.63,5.65,3.59,6.31%,-72.20,3.63
002342,巨力索具,3.82,10.09%,0.35,50.48万,1.87亿,10.95%,3.82,3.44,3.47,3.47,0.91,5.81%,152.16,1.50
000068,华控赛格,2.95,10.07%,0.27,7.24万,2121.97万,8.58%,2.95,2.72,2.73,2.68,1.51,0.72%,-28.87,6.57
002114,罗平锌电,7.76,10.07%,0.71,22.01万,1.68亿,11.35%,7.76,6.96,7.04,7.05,2.33,6.81%,-16.86,1.72
000633,合金投资,4.92,10.07%,0.45,8.88万,4235.78万,12.08%,4.92,4.38,4.38,4.47,0.35,2.31%,146.79,11.45
600409,三友化工,9.41,10.06%,0.86,93.96万,8.54亿,10.53%,9.41,8.51,8.84,8.55,2.07,4.55%,451.04,1.77
600405,动力源,6.02,10.05%,0.55,40.27万,2.39亿,10.79%,6.02,5.43,5.47,5.47,1.70,7.28%,117.11,3.13
002011,盾安环境,4.05,10.05%,0.37,22.56万,9098.29万,10.33%,4.05,3.67,3.69,3.68,5.02,2.47%,-14.77,1.70
000767,晋控电力,4.27,10.05%,0.39,73.51万,3.10亿,4.38%,4.27,4.10,4.25,3.88,0.86,2.52%,56.17,1.69
601020,华钰矿业,10.95,10.05%,1.00,19.25万,2.05亿,10.45%,10.95,9.91,9.94,9.95,0.88,3.48%,75.52,2.50
002647,仁东控股,11.83,10.05%,1.08,132.52万,15.20亿,10.42%,11.83,10.71,10.71,10.75,1.14,23.67%,-226.61,6.86
600257,大湖股份,5.59,10.04%,0.51,79.56万,4.31亿,12.99%,5.59,4.93,5.01,5.08,1.09,16.53%,355.24,2.31
002670,国盛金控,12.50,10.04%,1.14,136.10万,16.33亿,12.24%,12.50,11.11,11.16,11.36,1.95,8.39%,-226.98,2.11
601901,方正证券,9.43,10.04%,0.86,162.90万,15.11亿,7.58%,9.43,8.78,8.90,8.57,6.13,1.98%,39.27,1.94
000659,珠海中富,3.29,10.03%,0.30,73.73万,2.38亿,10.03%,3.29,2.99,2.99,2.99,2.27,5.73%,-192.03,5.93
603903,中持股份,11.30,10.03%,1.03,2.82万,3163.79万,4.87%,11.30,10.80,11.00,10.27,1.29,1.39%,21.24,2.34
002772,众兴菌业,11.30,10.03%,1.03,38.56万,4.27亿,8.86%,11.30,10.39,10.43,10.27,2.77,15.13%,25.83,1.69
600792,云煤能源,3.95,10.03%,0.36,27.34万,1.05亿,13.37%,3.95,3.47,3.50,3.59,0.68,2.76%,239.81,1.16
600163,中闽能源,4.17,10.03%,0.38,40.86万,1.67亿,10.29%,4.17,3.78,3.78,3.79,1.22,4.09%,26.40,2.16
600733,北汽蓝谷,8.67,10.03%,0.79,69.60万,5.82亿,10.03%,8.67,7.88,7.90,7.88,0.86,3.81%,-7.88,2.09
002563,森马服饰,9.77,10.02%,0.89,24.34万,2.31亿,9.68%,9.77,8.91,8.97,8.88,2.48,1.29%,91.55,2.41
000639,西王食品,6.81,10.02%,0.62,37.49万,2.47亿,10.66%,6.81,6.15,6.20,6.19,1.12,3.49%,19.32,1.94
003028,振邦智能,37.90,10.01%,3.45,508,192.55万,0.00%,37.90,37.90,37.90,34.45,0.24,0.19%,24.97,4.21
600059,古越龙山,17.25,10.01%,1.57,110.59万,18.72亿,11.16%,17.25,15.50,15.50,15.68,0.98,13.68%,121.83,3.33
605376,博迁新材,44.61,10.01%,4.06,8.11万,3.58亿,3.72%,44.61,43.10,43.10,40.55,0.33,12.40%,75.68,8.46
605299,舒华体育,12.86,10.01%,1.17,7.95万,9759.76万,11.04%,12.86,11.57,11.74,11.69,0.61,15.90%,53.40,4.31
002612,朗姿股份,27.37,10.01%,2.49,21.41万,5.70亿,10.01%,27.37,24.88,26.00,24.88,0.40,8.19%,181.67,4.21
003026,中晶科技,42.87,10.01%,3.90,782,335.10万,0.00%,42.87,42.87,42.87,38.97,0.41,0.31%,51.86,5.92
605179,一鸣食品,16.05,10.01%,1.46,2124,340.94万,0.00%,16.05,16.05,16.05,14.59,0.41,0.35%,48.79,5.12
600081,东风科技,18.36,10.01%,1.67,31.72万,5.40亿,18.09%,18.36,15.34,15.35,16.69,1.56,10.12%,45.97,3.99
002008,大族激光,42.66,10.01%,3.88,57.99万,24.08亿,12.66%,42.66,37.75,38.00,38.78,3.31,5.84%,33.46,4.96
002890,弘宇股份,24.08,10.00%,2.19,1.05万,2466.75万,8.22%,24.08,22.28,22.73,21.89,0.94,2.20%,69.35,2.94
603637,镇海股份,8.14,10.00%,0.74,7.08万,5697.20万,6.62%,8.14,7.65,7.98,7.40,6.67,2.91%,37.46,2.53
600876,洛阳玻璃,17.71,10.00%,1.61,11.71万,2.00亿,10.25%,17.71,16.06,16.10,16.10,1.12,4.20%,88.84,7.03
600707,彩虹股份,6.93,10.00%,0.63,138.01万,9.04亿,17.14%,6.93,5.85,6.40,6.30,1.31,5.58%,-11.15,1.32
003029,吉大正元,23.76,10.00%,2.16,1333,316.65万,0.00%,23.76,23.76,23.76,21.60,0.73,0.30%,115.01,3.65
002999,天禾股份,11.99,10.00%,1.09,11.22万,1.31亿,10.18%,11.99,10.88,10.99,10.90,3.63,18.07%,32.01,2.91
000676,智度股份,6.05,10.00%,0.55,45.52万,2.67亿,9.45%,6.05,5.53,5.63,5.50,3.88,4.45%,-52.83,1.21
002756,永兴材料,49.29,10.00%,4.48,9.73万,4.72亿,8.39%,49.29,45.53,46.00,44.81,0.52,4.13%,55.93,5.36
600765,中航重机,23.11,10.00%,2.10,43.04万,9.43亿,12.33%,23.11,20.52,20.61,21.01,1.13,5.02%,60.68,3.41
603583,捷昌驱动,74.08,9.99%,6.73,3.13万,2.25亿,11.12%,74.09,66.60,67.23,67.35,2.43,2.12%,43.52,5.78
002009,天奇股份,10.13,9.99%,0.92,31.98万,3.15亿,10.97%,10.13,9.12,9.12,9.21,1.38,8.64%,52.89,1.78
002553,南方轴承,10.02,9.99%,0.91,43.48万,4.17亿,15.15%,10.02,8.64,8.65,9.11,1.10,18.56%,43.95,4.90
002852,道道全,18.28,9.99%,1.66,7.97万,1.41亿,10.59%,18.28,16.52,16.68,16.62,1.84,3.86%,43.93,2.67
000995,皇台酒业,30.84,9.99%,2.80,43.02万,13.00亿,12.55%,30.84,27.32,27.54,28.04,1.47,24.25%,1025.19,52.84
600773,西藏城投,7.16,9.98%,0.65,44.02万,3.11亿,9.83%,7.16,6.52,6.52,6.51,1.72,5.90%,61.82,1.66
002340,格林美,6.94,9.98%,0.63,467.27万,31.94亿,8.08%,6.94,6.43,6.49,6.31,0.86,9.81%,76.48,2.55
002056,横店东磁,15.54,9.98%,1.41,107.10万,16.32亿,9.62%,15.54,14.18,14.23,14.13,2.09,6.59%,29.03,4.50
002497,雅化集团,19.95,9.98%,1.81,14.25万,2.84亿,0.00%,19.95,19.95,19.95,18.14,0.18,1.68%,73.86,6.59
600791,京能置业,4.96,9.98%,0.45,14.56万,6951.46万,12.20%,4.96,4.41,4.50,4.51,1.10,3.22%,-25.28,1.40
002805,丰元股份,13.67,9.98%,1.24,9.38万,1.23亿,11.58%,13.67,12.23,12.23,12.43,1.07,9.68%,378.55,3.38
600121,郑州煤电,9.04,9.98%,0.82,193.48万,16.60亿,15.82%,9.04,7.74,8.10,8.22,0.97,15.88%,-20.30,4.51
002996,顺博合金,16.76,9.97%,1.52,8.31万,1.37亿,9.51%,16.76,15.31,15.31,15.24,0.70,15.68%,49.27,4.07
600381,青海春天,7.83,9.97%,0.71,28.06万,2.15亿,8.85%,7.83,7.20,7.20,7.12,0.84,4.78%,-33.39,2.01
002796,世嘉科技,14.78,9.97%,1.34,9.04万,1.32亿,5.06%,14.78,14.10,14.50,13.44,1.96,4.25%,62.58,2.40
600338,西藏珠峰,10.26,9.97%,0.93,33.00万,3.29亿,10.50%,10.26,9.28,9.37,9.33,1.07,3.61%,96.60,3.89
600189,泉阳泉,13.35,9.97%,1.21,83.52万,10.78亿,13.01%,13.35,11.77,12.62,12.14,1.77,14.84%,93.71,6.45
600333,长春燃气,9.27,9.96%,0.84,129.37万,10.88亿,17.67%,9.27,7.78,7.79,8.43,2.37,21.24%,-46.86,2.80
600798,宁波海运,5.63,9.96%,0.51,90.13万,4.95亿,12.30%,5.63,5.00,5.00,5.12,0.91,8.74%,36.31,1.88
000576,甘化科工,10.38,9.96%,0.94,21.17万,2.12亿,12.92%,10.38,9.16,9.45,9.44,2.92,4.95%,4.63,2.46
600310,桂东电力,4.53,9.95%,0.41,17.00万,7555.69万,11.17%,4.53,4.07,4.11,4.12,0.74,2.05%,31.89,1.65
600586,金晶科技,6.08,9.95%,0.55,82.24万,4.94亿,8.68%,6.08,5.60,5.63,5.53,0.83,5.76%,35.57,2.05
600105,永鼎股份,3.76,9.94%,0.34,85.09万,3.19亿,2.63%,3.76,3.67,3.76,3.42,1.88,6.23%,-25.20,1.93
002314,南山控股,3.76,9.94%,0.34,7.81万,2935.16万,0.00%,3.76,3.76,3.76,3.42,1.35,0.69%,-50.92,1.25
002587,奥拓电子,5.65,9.92%,0.51,25.20万,1.41亿,10.70%,5.65,5.10,5.15,5.14,4.39,5.82%,111.58,2.59
600869,智慧能源,3.99,9.92%,0.36,52.69万,2.05亿,12.12%,3.99,3.55,3.63,3.63,4.17,2.37%,38.10,1.75
600960,渤海汽车,4.22,9.90%,0.38,48.14万,2.01亿,10.42%,4.22,3.82,3.83,3.84,1.69,5.06%,660.55,0.85
600758,辽宁能源,3.67,9.88%,0.33,20.57万,7439.21万,10.48%,3.67,3.32,3.32,3.34,0.36,1.56%,-8.48,0.95
600185,格力地产,7.18,9.79%,0.64,108.54万,7.63亿,10.55%,7.19,6.50,6.59,6.54,1.22,5.27%,18.58,1.76
300472,新元科技,9.99,9.78%,0.89,10.61万,1.04亿,20.44%,10.90,9.04,9.04,9.10,3.28,6.33%,82.87,1.90
300592,华凯创意,17.29,9.57%,1.51,3.00万,4998.93万,11.34%,17.44,15.65,16.01,15.78,1.93,3.15%,-80.56,4.39
002920,德赛西威,84.10,9.56%,7.34,4.39万,3.62亿,10.34%,84.44,76.50,77.17,76.76,1.18,0.80%,108.98,10.45
601633,长城汽车,37.18,9.39%,3.19,51.18万,18.60亿,9.89%,37.35,33.99,34.40,33.99,1.07,0.85%,98.90,6.26
300648,星云股份,43.88,9.13%,3.67,11.10万,4.80亿,15.99%,46.25,39.82,39.82,40.21,1.32,14.07%,85.02,10.19
300023,宝德股份,11.88,9.09%,0.99,15.30万,1.79亿,9.00%,12.06,11.08,11.09,10.89,3.00,11.14%,-5314.37,7.72
300454,深信服,243.00,8.97%,20.00,2.10万,5.02亿,11.61%,245.88,220.00,220.00,223.00,0.94,0.98%,1089.10,18.68
688116,天奈科技,63.20,8.82%,5.12,4.06万,2.50亿,11.02%,64.38,57.98,58.01,58.08,0.98,2.30%,143.10,9.02
000157,中联重科,10.07,8.51%,0.79,188.66万,18.60亿,10.02%,10.20,9.27,9.28,9.28,1.93,2.90%,10.52,1.72
688186,广大特材,36.71,8.26%,2.80,3.70万,1.33亿,11.71%,37.37,33.40,33.91,33.91,1.18,9.33%,32.66,3.53
000541,佛山照明,6.33,8.21%,0.48,28.97万,1.82亿,10.94%,6.44,5.80,5.85,5.85,3.73,2.70%,28.54,1.70
600248,延长化建,4.70,8.05%,0.35,49.63万,2.34亿,10.57%,4.79,4.33,4.39,4.35,3.60,7.56%,347.95,1.29
688339,亿华通-U,274.87,7.83%,19.97,1.19万,3.18亿,11.12%,278.35,250.00,252.87,254.90,1.06,7.76%,-253.04,8.67
