代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
688358,祥生医疗,50.50,-1.94%,-1.00,2394,1224.66万,3.98%,52.44,50.39,51.01,51.50,0.84,1.25%,46.03,3.48
000913,钱江摩托,27.17,-1.95%,-0.54,2.56万,6962.05万,2.63%,27.78,27.05,27.78,27.71,0.61,0.56%,35.58,4.46
002172,澳洋健康,3.00,-1.96%,-0.06,22.15万,6728.43万,4.58%,3.13,2.99,3.01,3.06,0.88,2.87%,-8.54,1.93
002180,纳思达,26.43,-1.97%,-0.53,9.13万,2.44亿,3.78%,27.23,26.21,26.91,26.96,0.76,0.91%,51.32,4.30
300032,金龙机电,4.98,-1.97%,-0.10,11.94万,6007.87万,3.15%,5.12,4.96,5.08,5.08,0.74,1.49%,283.25,2.71
002637,赞宇科技,12.38,-1.98%,-0.25,3.66万,4566.37万,2.22%,12.63,12.35,12.63,12.63,0.78,0.94%,10.72,1.80
600760,中航沈飞,71.80,-1.98%,-1.45,19.17万,13.86亿,4.91%,74.00,70.40,72.89,73.25,0.67,1.37%,64.95,10.20
002276,万马股份,7.91,-1.98%,-0.16,14.57万,1.17亿,2.85%,8.14,7.91,8.07,8.07,0.93,1.41%,35.48,1.85
002203,海亮股份,7.41,-1.98%,-0.15,9.72万,7181.82万,3.31%,7.54,7.29,7.53,7.56,1.37,0.53%,20.00,1.60
002801,微光股份,35.97,-1.99%,-0.73,4.11万,1.49亿,4.80%,37.16,35.40,36.51,36.70,1.22,5.44%,29.47,4.91
300902,国安达,32.89,-2.00%,-0.67,2.66万,8873.67万,3.04%,33.83,32.81,33.77,33.56,0.98,8.78%,75.97,5.17
601163,三角轮胎,15.21,-2.00%,-0.31,3.88万,5965.61万,3.54%,15.70,15.15,15.54,15.52,0.70,0.49%,11.17,1.15
002522,浙江众成,6.36,-2.00%,-0.13,7.74万,4964.32万,2.77%,6.54,6.36,6.49,6.49,0.96,0.90%,35.54,3.07
002599,盛通股份,3.91,-2.01%,-0.08,7.75万,3057.03万,4.51%,4.04,3.86,3.99,3.99,1.65,2.12%,67.93,1.21
002163,海南发展,20.00,-2.01%,-0.41,13.05万,2.62亿,3.43%,20.49,19.79,20.26,20.41,0.57,1.62%,250.99,22.47
300791,仙乐健康,84.30,-2.01%,-1.73,5041,4257.62万,3.91%,86.86,83.50,86.58,86.03,0.78,1.50%,40.78,4.79
601996,丰林集团,2.92,-2.01%,-0.06,17.05万,5099.12万,4.70%,3.06,2.92,2.98,2.98,1.18,1.58%,23.38,1.19
002169,智光电气,7.30,-2.01%,-0.15,13.05万,9651.55万,3.22%,7.54,7.30,7.38,7.45,0.75,1.71%,143.46,2.06
