代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
600655,豫园股份,14.32,9.98%,1.30,172.89万,23.24亿,14.36%,14.32,12.45,12.96,13.02,3.15,10.77%,26.27,1.79
002291,星期六,16.75,9.98%,1.52,29.93万,4.72亿,15.43%,16.75,14.40,15.06,15.23,1.94,4.86%,-81.84,3.85
600793,宜宾纸业,10.91,9.98%,0.99,4.95万,5277.01万,8.97%,10.91,10.02,10.10,9.92,1.28,2.80%,-13.53,3.26
002340,格林美,9.15,9.98%,0.83,684.09万,58.90亿,12.14%,9.15,8.14,8.60,8.32,1.03,14.37%,100.84,3.36
600865,百大集团,7.83,9.97%,0.71,14.74万,1.15亿,6.04%,7.83,7.40,7.41,7.12,4.80,3.92%,12.39,1.45
000668,荣丰控股,14.89,9.97%,1.35,1.52万,2265.52万,0.00%,14.89,14.89,14.89,13.54,0.80,1.04%,-78.84,2.31
600167,联美控股,11.48,9.96%,1.04,20.70万,2.34亿,4.89%,11.48,10.97,11.05,10.44,2.67,0.90%,16.99,3.19
002197,证通电子,8.50,9.96%,0.77,11.22万,9425.87万,10.09%,8.50,7.72,7.72,7.73,0.97,2.58%,229.78,1.82
002177,御银股份,5.63,9.96%,0.51,115.44万,6.41亿,9.96%,5.63,5.12,5.22,5.12,1.15,15.17%,47.36,2.51
601727,上海电气,6.08,9.95%,0.55,204.18万,11.88亿,11.93%,6.08,5.42,5.50,5.53,2.55,1.81%,29.52,1.42
002580,圣阳股份,7.41,9.94%,0.67,5.95万,4405.87万,0.00%,7.41,7.41,7.41,6.74,0.51,1.90%,74.70,2.12
002429,兆驰股份,6.53,9.93%,0.59,186.17万,11.95亿,9.76%,6.53,5.95,5.95,5.94,1.97,4.14%,19.94,2.74
601360,三六零,17.51,9.92%,1.58,105.20万,18.19亿,10.61%,17.52,15.83,15.90,15.93,3.46,5.88%,54.98,3.55
300315,掌趣科技,5.20,9.70%,0.46,161.80万,8.25亿,12.24%,5.30,4.72,4.73,4.74,2.23,6.15%,22.19,2.52
002010,传化智联,5.18,9.51%,0.45,48.00万,2.44亿,10.57%,5.20,4.70,4.73,4.73,3.53,1.51%,19.31,1.18
600362,江西铜业,24.84,8.90%,2.03,135.27万,31.67亿,12.01%,24.96,22.22,23.30,22.81,1.58,6.52%,42.10,1.63
000584,哈工智能,6.50,8.88%,0.53,11.65万,7195.31万,10.55%,6.51,5.88,5.97,5.97,2.96,1.95%,-128.98,2.09
300592,华凯创意,17.07,8.80%,1.38,5.08万,8469.38万,18.10%,17.69,14.85,15.70,15.69,1.22,5.34%,-79.53,4.34
603686,龙马环卫,16.38,8.48%,1.28,23.27万,3.74亿,10.99%,16.57,14.91,15.09,15.10,2.04,5.60%,15.44,2.49
300495,美尚生态,6.56,8.43%,0.51,27.08万,1.76亿,10.58%,6.79,6.15,6.30,6.05,2.24,5.88%,36.97,1.07
300058,蓝色光标,6.22,8.36%,0.48,101.60万,6.30亿,9.93%,6.33,5.76,5.77,5.74,2.32,4.42%,18.80,1.69
688008,澜起科技,91.00,8.35%,7.01,11.38万,10.21亿,12.07%,93.14,83.00,84.72,83.99,1.36,2.71%,87.85,12.94
002360,同德化工,7.98,8.28%,0.61,13.25万,1.04亿,10.99%,8.06,7.25,7.55,7.37,2.01,4.44%,24.84,2.60
002453,华软科技,6.26,7.93%,0.46,20.56万,1.24亿,13.62%,6.35,5.56,5.78,5.80,1.07,3.60%,358.55,3.10
603195,公牛集团,242.65,7.84%,17.65,2.89万,6.71亿,11.12%,246.03,221.00,223.98,225.00,1.25,4.82%,68.36,17.39
600827,百联股份,16.96,7.82%,1.23,53.59万,9.01亿,6.68%,17.20,16.15,16.30,15.73,1.23,3.34%,52.04,1.67
600586,金晶科技,7.42,7.69%,0.53,144.30万,10.36亿,13.06%,7.58,6.68,6.85,6.89,1.28,10.10%,43.40,2.50
300211,亿通科技,9.15,7.65%,0.65,30.81万,2.80亿,18.47%,9.68,8.11,8.11,8.50,2.72,10.38%,266.12,6.07
600143,金发科技,20.14,7.64%,1.43,182.30万,35.57亿,9.25%,20.34,18.61,18.95,18.71,2.04,7.08%,10.25,3.69
300262,巴安水务,3.69,7.58%,0.26,20.38万,7323.24万,11.95%,3.74,3.33,3.44,3.43,1.69,4.45%,144.58,1.05
002555,三七互娱,33.86,7.53%,2.37,85.54万,28.37亿,10.48%,34.45,31.15,31.49,31.49,1.30,5.78%,23.73,8.81
300251,光线传媒,12.76,7.50%,0.89,38.55万,4.89亿,9.52%,13.06,11.93,11.93,11.87,1.40,1.38%,440.59,4.24
601311,骆驼股份,11.06,7.48%,0.77,107.96万,11.59亿,13.02%,11.32,9.98,10.31,10.29,1.77,9.62%,20.65,1.85
300299,富春股份,7.66,7.43%,0.53,32.17万,2.38亿,11.22%,7.72,6.92,7.24,7.13,1.87,5.03%,57.74,11.22
002506,协鑫集成,4.11,7.31%,0.28,219.29万,8.91亿,7.83%,4.18,3.88,3.88,3.83,1.17,4.32%,-58.11,5.06
300163,先锋新材,3.40,7.26%,0.23,31.91万,1.06亿,15.46%,3.56,3.07,3.17,3.17,2.62,9.18%,176.91,2.75
600619,海立股份,8.15,7.24%,0.55,16.23万,1.31亿,10.92%,8.36,7.53,7.59,7.60,1.90,2.79%,74.58,1.64
688339,亿华通-U,283.18,7.22%,19.08,1.44万,4.05亿,9.42%,295.00,270.11,288.00,264.10,1.36,9.38%,-260.69,8.93
300664,鹏鹞环保,7.45,7.19%,0.50,26.86万,2.00亿,10.50%,7.68,6.95,6.95,6.95,2.13,5.57%,14.54,1.58
300196,长海股份,18.67,7.11%,1.24,8.50万,1.54亿,7.86%,18.67,17.30,17.73,17.43,1.79,3.46%,29.17,2.74
300325,德威新材,1.98,7.03%,0.13,129.33万,2.52亿,21.08%,2.12,1.73,1.84,1.85,1.55,12.98%,-23.23,2.74
300590,移为通信,31.67,6.99%,2.07,20.28万,6.48亿,13.89%,33.66,29.55,30.01,29.60,1.22,11.86%,92.40,7.34
002373,千方科技,19.68,6.96%,1.28,29.48万,5.72亿,8.37%,19.84,18.30,18.41,18.40,1.70,2.80%,31.67,2.69
002908,德生科技,14.79,6.94%,0.96,12.93万,1.93亿,9.69%,15.21,13.87,13.87,13.83,3.18,9.04%,62.69,3.99
002174,游族网络,14.15,6.87%,0.91,35.91万,5.00亿,10.12%,14.39,13.05,13.23,13.24,1.06,5.18%,17.35,2.29
600160,巨化股份,8.40,6.87%,0.54,48.40万,3.96亿,8.91%,8.44,7.74,7.96,7.86,1.97,1.79%,441.82,1.82
601919,中远海控,15.29,6.85%,0.98,228.18万,33.66亿,11.25%,15.48,13.87,14.11,14.31,1.07,2.64%,36.42,4.81
300735,光弘科技,13.75,6.84%,0.88,14.21万,1.92亿,8.39%,13.83,12.75,12.85,12.87,1.82,1.88%,27.33,2.51
002366,台海核电,3.45,6.81%,0.22,51.60万,1.71亿,11.46%,3.46,3.09,3.16,3.23,1.92,8.55%,-7.10,1.50
603708,家家悦,21.33,6.81%,1.36,21.29万,4.50亿,11.02%,21.90,19.70,19.84,19.97,1.69,3.50%,25.04,4.32
002382,蓝帆医疗,22.81,6.74%,1.44,54.80万,12.36亿,8.84%,23.07,21.18,21.19,21.37,1.70,7.60%,8.89,2.34
300134,大富科技,10.17,6.72%,0.64,11.00万,1.10亿,8.08%,10.19,9.42,9.45,9.53,1.39,1.54%,208.34,1.55
002131,利欧股份,3.19,6.69%,0.20,360.78万,11.34亿,7.36%,3.23,3.01,3.05,2.99,2.72,6.23%,5.24,1.91
002558,巨人网络,18.12,6.65%,1.13,32.43万,5.73亿,8.48%,18.35,16.91,17.03,16.99,1.88,1.60%,32.85,4.49
603661,恒林股份,57.99,6.40%,3.49,1.69万,9665.87万,10.00%,58.95,53.50,53.58,54.50,1.30,5.89%,14.40,2.12
600297,广汇汽车,2.83,6.39%,0.17,118.78万,3.31亿,10.90%,2.93,2.64,2.66,2.66,1.84,1.46%,13.12,0.58
603087,甘李药业,168.00,6.34%,10.01,4.59万,7.56亿,8.23%,168.01,155.01,156.00,157.99,1.08,8.16%,103.11,11.24
300456,赛微电子,23.00,6.33%,1.37,14.58万,3.35亿,8.04%,23.65,21.91,21.92,21.63,1.40,4.26%,149.22,5.08
002065,东华软件,8.41,6.32%,0.50,58.21万,4.87亿,9.36%,8.66,7.92,7.92,7.91,1.97,2.07%,31.95,2.63
600733,北汽蓝谷,9.30,6.29%,0.55,194.11万,18.18亿,9.37%,9.63,8.81,9.30,8.75,3.12,10.64%,-8.45,2.24
600375,汉马科技,7.65,6.25%,0.45,18.76万,1.42亿,10.83%,7.89,7.11,7.20,7.20,1.44,3.38%,-18.59,1.58
300572,安车检测,40.91,6.20%,2.39,4.34万,1.73亿,9.19%,41.14,37.60,38.99,38.52,1.05,3.12%,37.72,8.02
002007,华兰生物,50.39,6.15%,2.92,66.30万,32.50亿,6.66%,50.42,47.26,47.61,47.47,1.56,4.23%,71.51,13.21
300257,开山股份,13.64,6.15%,0.79,7.09万,9508.00万,7.55%,13.77,12.80,12.86,12.85,1.48,0.87%,52.35,2.84
300111,向日葵,3.12,6.12%,0.18,31.98万,9804.12万,12.59%,3.20,2.83,2.94,2.94,1.67,2.86%,110.93,47.26
603358,华达科技,17.38,6.11%,1.00,7.72万,1.26亿,16.67%,17.49,14.76,14.76,16.38,2.04,2.46%,33.53,2.03
002603,以岭药业,30.30,6.09%,1.74,63.50万,18.89亿,8.16%,30.98,28.65,28.88,28.56,1.90,6.44%,26.92,4.18
002530,金财互联,8.54,6.09%,0.49,14.51万,1.23亿,9.69%,8.75,7.97,8.03,8.05,1.29,2.28%,97.69,1.95
300212,易华录,30.75,6.03%,1.75,17.86万,5.47亿,8.34%,31.50,29.08,29.18,29.00,1.13,2.89%,103.17,5.91
600522,中天科技,11.30,6.00%,0.64,89.59万,9.92亿,6.47%,11.30,10.61,10.65,10.66,2.05,2.92%,16.41,1.58
603038,华立股份,8.83,6.00%,0.50,2.07万,1813.54万,7.92%,8.96,8.30,8.50,8.33,1.60,1.13%,128.49,1.54
002152,广电运通,10.60,6.00%,0.60,40.08万,4.21亿,8.50%,10.84,9.99,10.00,10.00,1.92,1.67%,41.06,2.61
000534,万泽股份,15.05,5.99%,0.85,13.39万,1.99亿,7.89%,15.13,14.01,14.10,14.20,2.01,2.72%,79.76,7.45
688080,映翰通,49.84,5.95%,2.80,3354,1666.22万,11.25%,52.00,46.71,47.11,47.04,1.38,2.69%,58.04,4.05
002055,得润电子,13.56,5.94%,0.76,16.53万,2.21亿,10.63%,13.95,12.59,12.83,12.80,1.28,3.81%,21.65,3.03
000488,晨鸣纸业,7.70,5.91%,0.43,136.56万,10.45亿,7.98%,7.96,7.38,7.42,7.27,1.36,8.23%,16.01,1.29
300003,乐普医疗,28.16,5.90%,1.57,49.74万,13.85亿,7.48%,28.58,26.59,26.59,26.59,1.58,3.26%,19.32,5.06
600246,万通发展,7.56,5.88%,0.42,23.26万,1.72亿,6.72%,7.64,7.16,7.30,7.14,2.56,1.13%,254.36,2.17
002699,美盛文化,6.55,5.82%,0.36,16.38万,1.04亿,7.27%,6.57,6.12,6.19,6.19,1.11,1.80%,80.94,1.86
600496,精工钢构,4.92,5.81%,0.27,52.76万,2.51亿,9.89%,4.95,4.49,4.61,4.65,1.59,3.49%,15.20,1.48
603019,中科曙光,35.90,5.81%,1.97,49.27万,17.50亿,6.66%,36.10,33.84,33.86,33.93,1.57,3.78%,120.58,4.75
000551,创元科技,8.21,5.80%,0.45,8.03万,6502.26万,13.40%,8.54,7.50,7.75,7.76,2.64,2.01%,27.88,1.73
603906,龙蟠科技,29.61,5.75%,1.61,8.76万,2.54亿,7.29%,29.96,27.92,28.00,28.00,0.57,2.55%,53.12,6.96
002612,朗姿股份,23.42,5.73%,1.27,45.98万,10.46亿,14.09%,24.14,21.02,22.22,22.15,0.77,17.59%,155.45,3.60
300573,兴齐眼药,107.56,5.72%,5.82,2.05万,2.18亿,8.15%,109.00,100.71,100.71,101.74,1.08,3.38%,123.65,14.26
002865,钧达股份,18.74,5.70%,1.01,3.96万,7216.84万,8.63%,18.93,17.40,17.70,17.73,1.81,3.16%,255.53,2.80
300334,津膜科技,9.18,5.64%,0.49,21.64万,1.97亿,12.20%,9.55,8.49,8.70,8.69,2.01,7.40%,-80.87,3.44
600295,鄂尔多斯,11.25,5.63%,0.60,46.47万,5.19亿,9.20%,11.69,10.71,10.93,10.65,2.17,7.12%,12.63,1.23
300677,英科医疗,195.38,5.61%,10.38,10.23万,19.66亿,6.06%,197.00,185.79,188.34,185.00,0.89,4.37%,11.80,10.53
002419,天虹股份,7.16,5.60%,0.38,16.55万,1.15亿,8.70%,7.18,6.59,6.73,6.78,1.93,1.38%,50.60,1.31
688057,金达莱,35.69,5.56%,1.88,3.71万,1.30亿,7.13%,35.93,33.52,33.88,33.81,1.75,5.82%,24.03,3.28
601579,会稽山,13.11,5.56%,0.69,30.29万,3.95亿,10.23%,13.58,12.31,12.32,12.42,0.80,6.09%,75.97,2.07
000158,常山北明,5.90,5.55%,0.31,34.85万,2.03亿,10.38%,6.04,5.46,5.59,5.59,1.69,2.21%,-143.77,1.61
000793,华闻集团,2.32,5.45%,0.12,51.09万,1.17亿,11.36%,2.38,2.13,2.18,2.20,1.39,2.61%,-23.07,0.93
300133,华策影视,6.00,5.45%,0.31,32.56万,1.93亿,8.26%,6.07,5.60,5.67,5.69,1.08,2.27%,38.95,1.93
002416,爱施德,8.75,5.42%,0.45,39.13万,3.40亿,6.99%,8.88,8.30,8.44,8.30,1.43,3.20%,16.96,2.09
002317,众生药业,10.38,5.38%,0.53,19.80万,2.03亿,8.43%,10.50,9.67,9.77,9.85,0.97,2.78%,21.03,2.01
000159,国际实业,5.30,5.37%,0.27,32.27万,1.73亿,11.33%,5.53,4.96,5.05,5.03,3.55,6.71%,29.66,1.15
002602,世纪华通,7.09,5.35%,0.36,96.73万,6.78亿,7.73%,7.18,6.66,6.68,6.73,1.78,2.15%,16.20,1.78
300249,依米康,7.49,5.34%,0.38,12.33万,9138.59万,11.25%,7.75,6.95,7.13,7.11,1.25,4.04%,-37.79,4.55
002198,嘉应制药,4.38,5.29%,0.22,7.27万,3092.56万,8.41%,4.40,4.05,4.15,4.16,1.90,1.43%,-6584.31,3.35
002312,三泰控股,5.79,5.27%,0.29,25.09万,1.45亿,6.00%,5.87,5.54,5.58,5.50,1.68,1.89%,9.52,2.12
600559,老白干酒,35.16,5.27%,1.76,113.55万,39.87亿,9.88%,36.30,33.00,33.18,33.40,1.04,12.95%,101.54,9.32
300618,寒锐钴业,120.00,5.25%,5.99,17.88万,20.52亿,10.24%,120.68,109.00,116.28,114.01,1.02,9.53%,168.21,9.90
300578,会畅通讯,39.47,5.25%,1.97,5.96万,2.32亿,7.60%,39.90,37.05,37.08,37.50,1.16,4.87%,47.02,5.47
300310,宜通世纪,5.22,5.24%,0.26,38.69万,2.05亿,11.69%,5.47,4.89,4.89,4.96,1.22,5.59%,136.15,2.62
300136,信维通信,36.54,5.24%,1.82,51.85万,18.81亿,7.98%,37.37,34.60,34.72,34.72,1.01,6.35%,35.55,6.52
600039,四川路桥,4.63,5.23%,0.23,40.27万,1.83亿,5.68%,4.64,4.39,4.42,4.40,1.52,1.12%,9.65,1.03
600290,*ST华仪,2.63,5.20%,0.13,13.61万,3457.87万,7.60%,2.63,2.44,2.50,2.50,0.60,1.79%,-15.80,1.90
000403,双林生物,37.49,5.19%,1.85,3.23万,1.18亿,7.30%,37.67,35.07,35.70,35.64,1.31,0.66%,133.44,21.15
300383,光环新网,17.65,5.18%,0.87,33.58万,5.89亿,7.39%,17.91,16.67,16.81,16.78,1.52,2.24%,29.96,3.02
600379,宝光股份,6.70,5.18%,0.33,25.89万,1.69亿,12.24%,6.89,6.11,6.18,6.37,1.08,7.84%,54.20,4.00
600856,*ST中天,1.22,5.17%,0.06,2.03万,246.38万,2.59%,1.22,1.19,1.19,1.16,0.33,0.15%,-2.79,10.04
002808,恒久科技,7.33,5.16%,0.36,7.50万,5445.45万,11.19%,7.54,6.76,6.97,6.97,1.51,4.38%,89.06,3.35
300709,精研科技,54.26,5.16%,2.66,3.33万,1.79亿,7.87%,54.89,50.83,51.16,51.60,1.09,3.76%,54.10,4.17
000936,华西股份,7.58,5.13%,0.37,19.11万,1.45亿,9.15%,7.82,7.16,7.30,7.21,1.25,2.16%,-15.36,1.42
002470,*ST金正,1.23,5.13%,0.06,54.30万,6639.99万,5.98%,1.23,1.16,1.16,1.17,1.00,1.91%,-9.70,0.43
300373,扬杰科技,48.02,5.12%,2.34,29.62万,13.89亿,7.77%,48.25,44.70,45.24,45.68,1.08,6.29%,64.80,8.13
603161,科华控股,19.92,5.12%,0.97,5.13万,9992.21万,6.81%,20.04,18.75,19.25,18.95,1.05,7.39%,-120.34,2.09
300437,清水源,9.66,5.11%,0.47,5.36万,5063.03万,8.05%,9.66,8.92,9.09,9.19,1.70,3.93%,22.18,1.39
601777,*ST力帆,4.73,5.11%,0.23,1.35万,639.06万,0.00%,4.73,4.73,4.73,4.50,0.10,0.03%,-4.66,-27.74
002292,奥飞娱乐,6.19,5.09%,0.30,25.92万,1.57亿,8.83%,6.22,5.70,5.89,5.89,1.10,3.18%,-135.91,2.17
002659,凯文教育,4.54,5.09%,0.22,13.52万,6020.62万,8.33%,4.59,4.23,4.33,4.32,1.14,2.71%,-21.15,1.08
002072,ST凯瑞,4.34,5.08%,0.21,2.44万,1035.73万,5.81%,4.34,4.10,4.14,4.13,0.98,1.60%,137.42,27.52
600083,*ST博信,5.38,5.08%,0.26,5643,301.37万,4.88%,5.38,5.13,5.20,5.12,0.40,0.25%,-45.12,-58.08
300296,利亚德,6.21,5.08%,0.30,53.97万,3.31亿,9.31%,6.32,5.77,5.86,5.91,1.14,2.78%,37.54,1.85
002176,*ST江特,4.56,5.07%,0.22,6.00万,2734.79万,0.00%,4.56,4.56,4.56,4.34,0.09,0.35%,272.87,4.94
002071,*ST长城,0.83,5.06%,0.04,25.45万,2088.09万,7.59%,0.83,0.77,0.77,0.79,0.93,4.87%,-4.40,-0.52
002912,中新赛克,57.00,5.05%,2.74,2.69万,1.51亿,7.85%,57.65,53.39,53.80,54.26,1.16,2.15%,51.91,6.14
300920,润阳科技,42.25,5.05%,2.03,4.61万,1.89亿,10.42%,42.50,38.31,39.98,40.22,0.76,19.46%,33.51,3.87
600816,*ST安信,1.46,5.04%,0.07,32.51万,4672.99万,7.19%,1.46,1.36,1.38,1.39,1.08,0.62%,-1.57,2.09
600817,ST宏盛,13.35,5.04%,0.64,2.96万,3805.20万,10.07%,13.35,12.07,12.50,12.71,1.49,1.90%,-1056.00,2.69
300887,谱尼测试,88.25,5.02%,4.22,1.89万,1.67亿,8.18%,91.47,84.60,85.00,84.03,1.24,11.62%,96.54,3.92
600238,ST椰岛,9.21,5.02%,0.44,8.79万,8028.68万,7.07%,9.21,8.59,8.78,8.77,0.94,1.98%,-88.92,8.32
600895,张江高科,17.66,4.99%,0.84,22.84万,4.00亿,6.78%,17.98,16.84,16.88,16.82,1.64,1.47%,20.37,2.71
600416,*ST湘电,21.89,4.99%,1.04,21.39万,4.62亿,5.28%,21.89,20.79,21.01,20.85,1.16,2.26%,170.35,7.52
600696,ST岩石,14.13,4.98%,0.67,4.94万,6935.00万,3.57%,14.13,13.65,13.68,13.46,0.71,1.48%,562.57,17.99
600311,*ST荣华,1.49,4.93%,0.07,15.93万,2253.58万,9.86%,1.49,1.35,1.41,1.42,1.41,2.39%,295.26,1.57
300603,立昂技术,11.51,4.92%,0.54,9.95万,1.15亿,10.76%,11.89,10.71,10.91,10.97,1.45,4.32%,341.49,2.03
600319,ST亚星,5.97,4.92%,0.28,5.09万,2990.84万,9.67%,5.97,5.42,5.60,5.69,1.14,1.61%,-70.73,42.24
603225,新凤鸣,15.39,4.91%,0.72,17.06万,2.62亿,8.59%,15.86,14.60,14.63,14.67,1.69,1.25%,62.05,1.90
002256,*ST兆新,1.07,4.90%,0.05,20.21万,2088.06万,6.86%,1.07,1.00,1.01,1.02,1.42,1.45%,-19.73,1.31
002766,ST索菱,4.50,4.90%,0.21,5.42万,2418.03万,3.96%,4.50,4.33,4.50,4.29,1.25,1.83%,-9.85,4.69
300017,网宿科技,6.87,4.89%,0.32,56.17万,3.86亿,8.24%,7.03,6.49,6.57,6.55,1.63,2.55%,60.74,1.93
