代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
300038,数知科技,4.00,20.12%,0.67,107.61万,3.95亿,23.42%,4.00,3.22,3.38,3.33,1.88,9.27%,209.83,0.43
300459,金科文化,3.42,20.00%,0.57,163.48万,5.40亿,10.53%,3.42,3.12,3.20,2.85,2.28,6.65%,14.52,2.76
300305,裕兴股份,9.67,19.98%,1.61,4.82万,4664.87万,0.00%,9.67,9.67,9.67,8.06,2.13,2.07%,23.66,1.75
300894,火星人,58.13,16.05%,8.04,16.56万,9.16亿,19.86%,59.95,50.00,50.00,50.09,0.90,43.55%,113.45,19.21
300321,同大股份,20.00,15.94%,2.75,2.64万,5010.06万,20.35%,20.65,17.14,17.50,17.25,2.95,3.22%,100.68,2.83
300307,慈星股份,5.90,15.69%,0.80,24.27万,1.38亿,17.65%,6.05,5.15,5.22,5.10,3.37,3.14%,-126.31,1.51
688026,洁特生物,49.60,13.81%,6.02,2.64万,1.27亿,12.69%,50.56,45.03,45.20,43.58,2.62,11.12%,28.78,6.15
300927,C江天,46.49,12.76%,5.26,13.08万,5.84亿,26.85%,50.29,39.22,40.00,41.23,0.96,68.77%,65.83,7.10
300925,法本信息,64.98,11.86%,6.89,15.02万,9.22亿,22.38%,67.70,54.70,57.51,58.09,0.94,48.92%,76.01,7.79
300418,昆仑万维,21.17,11.72%,2.22,59.27万,12.39亿,15.36%,21.86,18.95,19.01,18.95,2.81,5.91%,4.46,2.75
300579,数字认证,40.89,11.48%,4.21,7.50万,3.00亿,14.01%,42.33,37.19,37.19,36.68,2.69,4.30%,327.03,11.00
300911,亿田智能,44.55,10.30%,4.16,5.20万,2.23亿,11.54%,44.66,40.00,40.43,40.39,1.30,20.57%,37.31,4.86
600439,瑞贝卡,2.48,10.22%,0.23,27.13万,6555.77万,12.89%,2.48,2.19,2.25,2.25,1.63,2.40%,220.35,1.00
600187,国中水务,2.59,10.21%,0.24,45.22万,1.13亿,11.91%,2.59,2.31,2.33,2.35,2.63,2.73%,88.73,1.25
600807,济南高新,3.69,10.15%,0.34,5.64万,2052.06万,11.04%,3.69,3.32,3.33,3.35,1.26,0.72%,-44.45,2.64
002642,荣联科技,4.79,10.11%,0.44,19.36万,8678.80万,14.94%,4.79,4.14,4.38,4.35,1.49,3.48%,139.04,1.13
002283,天润工业,5.56,10.10%,0.51,33.35万,1.78亿,11.49%,5.56,4.98,5.06,5.05,1.66,3.37%,13.86,1.30
600751,海航科技,2.62,10.08%,0.24,55.65万,1.39亿,14.71%,2.62,2.27,2.39,2.38,1.40,2.16%,12.42,0.56
002668,奥马电器,4.15,10.08%,0.38,54.94万,2.20亿,11.41%,4.15,3.72,3.77,3.77,3.26,6.50%,17.84,1.59
002017,东信和平,9.52,10.06%,0.87,11.29万,1.06亿,10.64%,9.52,8.60,8.60,8.65,1.86,2.54%,133.49,3.03
002609,捷顺科技,9.20,10.05%,0.84,14.70万,1.31亿,10.41%,9.20,8.33,8.67,8.36,1.78,3.40%,70.96,2.80
600093,易见股份,8.11,10.04%,0.74,22.03万,1.75亿,9.77%,8.11,7.39,7.40,7.37,2.32,1.96%,26.66,1.11
002462,嘉事堂,14.80,10.04%,1.35,10.44万,1.53亿,7.81%,14.80,13.75,13.96,13.45,5.24,4.18%,13.22,1.21
600776,东方通信,12.06,10.04%,1.10,11.80万,1.41亿,10.04%,12.06,10.96,10.97,10.96,1.04,1.23%,241.64,4.84
603256,宏和科技,9.21,10.04%,0.84,16.60万,1.51亿,11.83%,9.21,8.22,8.36,8.37,2.71,12.21%,70.68,5.58
002634,棒杰股份,6.47,10.03%,0.59,6.13万,3827.96万,9.52%,6.47,5.91,6.00,5.88,1.02,1.86%,43.26,4.02
600131,国网信通,14.59,10.03%,1.33,7.11万,1.02亿,8.30%,14.59,13.49,13.50,13.26,0.88,1.32%,44.85,4.03
002571,德力股份,11.08,10.03%,1.01,17.02万,1.84亿,10.33%,11.08,10.04,10.07,10.07,2.20,5.73%,3779.10,3.02
003030,祖名股份,26.46,10.02%,2.41,763,201.79万,0.00%,26.46,26.46,26.46,24.05,0.57,0.24%,32.10,3.41
600110,诺德股份,11.09,10.02%,1.01,117.17万,12.37亿,11.01%,11.09,9.98,10.15,10.08,1.53,10.19%,-711.99,4.56
000977,浪潮信息,29.21,10.02%,2.66,68.54万,19.66亿,10.73%,29.21,26.36,26.36,26.55,2.46,4.72%,50.69,3.63
605277,新亚电子,29.54,10.02%,2.69,4090,1208.15万,0.00%,29.54,29.54,29.54,26.85,1.58,1.23%,37.33,4.04
600059,古越龙山,18.01,10.02%,1.64,115.62万,20.49亿,7.51%,18.01,16.78,16.80,16.37,1.18,14.30%,127.20,3.47
000570,苏常柴Ａ,6.48,10.02%,0.59,51.42万,3.06亿,16.64%,6.48,5.50,5.90,5.89,2.91,12.50%,70.04,1.67
002759,天际股份,20.87,10.02%,1.90,19.81万,3.92亿,11.02%,20.87,18.78,19.17,18.97,1.03,4.93%,-143.87,3.19
003031,中瓷电子,32.20,10.01%,2.93,1102,354.87万,0.00%,32.20,32.20,32.20,29.27,1.32,0.41%,32.10,3.38
002585,双星新材,10.88,10.01%,0.99,51.84万,5.46亿,11.63%,10.88,9.73,9.93,9.89,2.08,5.89%,20.95,1.56
601908,京运通,14.51,10.01%,1.32,203.30万,28.65亿,7.66%,14.51,13.50,14.00,13.19,1.48,10.20%,52.10,3.83
003026,中晶科技,75.97,10.01%,6.91,2.41万,1.83亿,0.00%,75.97,75.97,75.97,69.06,5.82,9.67%,91.91,10.49
600844,丹化科技,3.85,10.00%,0.35,39.50万,1.48亿,11.43%,3.85,3.45,3.55,3.50,0.66,4.80%,-12.96,2.67
600161,天坛生物,44.99,10.00%,4.09,25.39万,11.23亿,10.49%,44.99,40.70,40.90,40.90,2.24,2.02%,85.19,12.90
002822,中装建设,6.05,10.00%,0.55,25.60万,1.50亿,10.73%,6.05,5.46,5.60,5.50,1.32,4.06%,15.75,1.33
002466,天齐锂业,54.34,10.00%,4.94,167.48万,85.57亿,12.75%,54.34,48.04,51.29,49.40,1.36,11.37%,-54.56,13.71
000767,晋控电力,4.73,10.00%,0.43,267.51万,11.41亿,20.00%,4.73,3.87,3.96,4.30,0.99,9.19%,62.22,1.87
603565,中谷物流,28.39,10.00%,2.58,15.92万,4.39亿,6.82%,28.39,26.63,27.01,25.81,2.00,23.88%,28.70,4.07
002541,鸿路钢构,40.17,9.99%,3.65,12.11万,4.73亿,10.02%,40.17,36.51,36.68,36.52,1.29,3.27%,31.43,3.93
600189,泉阳泉,15.96,9.99%,1.45,75.58万,11.46亿,16.20%,15.96,13.61,14.33,14.51,1.00,13.43%,112.03,7.71
000923,河钢资源,27.30,9.99%,2.48,17.12万,4.40亿,12.93%,27.30,24.09,25.20,24.82,1.15,2.73%,21.85,2.74
000938,紫光股份,22.24,9.99%,2.02,84.15万,18.25亿,10.58%,22.24,20.10,20.18,20.22,2.81,2.94%,36.82,2.18
600104,上汽集团,25.55,9.99%,2.32,184.65万,45.79亿,8.82%,25.55,23.50,23.67,23.23,2.07,1.58%,13.45,1.17
002375,亚厦股份,7.38,9.99%,0.67,18.05万,1.28亿,11.03%,7.38,6.64,6.65,6.71,1.34,1.36%,30.20,1.20
